,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,domoni,0,km,1528012302,100,-10.39,46.08,80.94,9.75
124,samusu,76,ws,1528012302,99,-12.84,-164.06,84.0,17.69
125,kaitangata,80,nz,1528012302,98,-62.08,180.00,35.4,29.66
126,lucapa,0,ao,1528012302,39,-9.12,21.11,78.96,8.86
127,mar del plata,92,ar,1528012302,95,-53.12,-48.58,39.36,21.5
128,hailar,92,cn,1528012303,52,47.90,118.60,61.86,21.39
129,mandera,12,ke,1528012303,70,4.57,40.57,77.16,13.67
130,daru,0,pg,1528009200,69,-10.01,142.05,80.6,13.87
131,ginda,76,er,1528012303,27,15.04,39.69,92.91,2.04
132,cua,64,ve,1528012303,76,9.79,-66.96,76.17,9.64
133,berlevag,68,no,1528012304,98,85.86,33.19,25.59,13.67
134,paita,92,pe,1528012304,100,-6.95,-85.75,72.21,15.35
135,waingapu,0,id,1528012304,98,-11.66,119.87,81.3,19.82
136,vaini,48,to,1528012304,100,-54.25,-168.22,41.16,28.77
137,nyagan,80,ru,1528012304,75,61.78,65.54,39.45,7.18
138,kargasok,32,ru,1528012305,66,60.60,80.74,52.59,18.81
139,preobrazheniye,8,ru,1528012305,70,43.12,134.47,67.35,7.18
140,hearst,20,ca,1528012305,51,49.70,-84.16,47.01,6.62
141,sao filipe,64,cv,1528012305,100,10.57,-29.46,74.37,13.11
142,bethel,1,us,1528009320,67,61.98,-157.74,57.2,4.38
143,tasiilaq,68,gl,1528012306,98,80.27,-35.28,10.2,7.74
144,huilong,64,cn,1528012306,94,31.97,124.71,66.27,12.77
145,makakilo city,88,us,1528012306,100,16.29,-160.17,80.04,20.49
146,boende,8,cd,1528012306,76,-0.36,21.48,84.27,2.93
147,belushya guba,32,ru,1528012306,100,74.87,56.25,29.64,2.15
148,torbay,88,ca,1528012307,100,33.54,-46.93,71.58,16.46
149,naze,92,jp,1528012307,97,20.54,141.32,85.62,13.0
150,bolungarvik,68,is,1528012307,97,67.75,-29.35,30.63,20.49
151,saucillo,68,mx,1528012307,39,28.17,-105.21,77.16,8.97
152,podporozhye,88,ru,1528012307,82,60.99,34.73,63.57,7.63
153,broken hill,0,au,1528012307,39,-29.05,141.66,57.72,10.09
154,labuhan,0,id,1528012308,100,-7.41,104.08,83.91,6.17
155,takoradi,92,gh,1528012308,100,-1.64,-0.42,78.96,14.45
156,canandaigua,20,us,1528010640,93,42.72,-77.65,62.6,2.04
157,amderma,92,ru,1528012308,100,84.51,62.75,30.09,9.98
158,longyearbyen,68,sj,1528012309,100,85.88,27.44,25.86,14.79
159,odweyne,0,so,1528012309,34,9.29,45.70,91.2,16.24
160,codrington,92,ag,1528012309,100,26.93,-52.57,74.37,7.63
161,qaanaaq,68,gl,1528012309,95,86.21,-91.27,27.3,9.42
162,attawapiskat,32,ca,1528012309,83,60.44,-78.35,11.91,2.26
163,husavik,12,is,1528012310,100,68.48,-15.71,36.48,12.88
164,tsihombe,44,mg,1528012310,95,-52.83,49.60,36.84,22.62
165,caravelas,36,br,1528012310,100,-21.26,-30.89,76.26,12.77
166,ribeira grande,12,pt,1528012310,100,29.48,-34.39,69.51,7.63
167,asau,100,tv,1528012310,100,-15.32,179.86,78.96,8.19
168,khatanga,88,ru,1528012311,96,74.70,103.78,33.33,6.73
169,amberley,80,nz,1528012311,100,-43.71,174.59,51.87,16.24
170,victoria,48,sc,1528012311,100,-6.69,63.46,80.58,5.17
171,college,1,us,1528008960,70,64.03,-148.85,66.2,3.36
172,hilo,92,us,1528012311,100,9.16,-152.54,80.22,13.22
173,east london,56,za,1528012312,69,-71.27,50.09,-17.17,13.0
174,george,76,za,1528012312,100,-35.52,22.48,60.24,15.46
175,hasaki,92,jp,1528012312,94,30.77,151.56,76.17,10.98
176,nsanje,0,mw,1528012312,53,-16.95,35.04,80.49,4.5
177,kamaishi,0,jp,1528012312,100,37.35,144.48,65.64,9.64
178,beeskow,90,de,1528010400,88,51.97,14.25,66.2,9.17
179,grand river south east,68,mu,1528012313,100,-22.41,71.54,73.74,18.03
180,marawi,0,sd,1528012313,12,19.68,28.27,96.15,10.98
181,biak,76,id,1528012313,100,-1.95,135.97,78.6,1.36
182,zunyi,92,cn,1528012313,77,27.36,106.87,70.77,5.17
183,san miguel,92,ph,1528012314,97,11.33,124.88,84.54,7.18
184,vardo,88,no,1528012314,96,80.23,35.51,30.54,17.47
185,ambanja,40,mg,1528009200,100,-13.00,48.13,82.4,4.7
186,vestmannaeyjar,48,is,1528012314,100,59.54,-17.77,48.36,10.87
187,yeppoon,0,au,1528012314,100,-20.04,154.25,72.3,7.74
188,cidreira,92,br,1528012315,100,-36.42,-41.89,59.79,32.57
189,rosario,0,ar,1528009200,93,-33.11,-60.81,39.2,5.28
190,chom bung,88,th,1528012315,81,13.16,99.21,77.34,2.93
191,srednekolymsk,92,ru,1528012315,96,68.91,154.47,32.79,12.66
192,malibu,1,us,1528009020,100,33.46,-119.06,69.8,4.7
193,tunxi,36,cn,1528012316,84,29.90,118.51,71.22,2.59
194,mys shmidta,92,ru,1528012316,95,74.79,-174.52,33.06,18.59
195,devils lake,90,us,1528011300,76,47.84,-98.43,53.6,25.28
196,meyungs,92,pw,1528012316,100,15.48,133.15,84.9,10.98
197,llata,56,pe,1528012317,94,-8.93,-76.70,41.16,1.36
198,port antonio,44,jm,1528012317,98,18.26,-75.87,81.57,15.68
199,tyukhtet,100,ru,1528012317,92,56.57,89.28,61.5,14.34
200,kapaa,0,us,1528012317,100,18.02,-169.83,78.51,10.42
201,ilhabela,8,br,1528012317,100,-27.92,-42.85,69.42,22.62
202,progreso,0,mx,1528012318,100,23.62,-90.81,81.39,11.65
203,aripuana,100,br,1528012318,58,-10.09,-60.08,80.49,4.38
204,kahului,92,us,1528012318,100,29.31,-150.24,68.7,18.03
205,cayenne,64,gf,1528012318,100,8.32,-47.51,78.24,15.12
