,Date,Site,parameter,o3,co,so2,no2,pm10
6848,2019-10-03,170317002,44201,0.018,,,,
6849,2019-10-04,170310001,44201,0.029,,,,
6850,2019-10-04,170310032,44201,0.032,,,,
6851,2019-10-04,170310076,44201,0.036,,,,
6852,2019-10-04,170310119,42101,,0.4,,,
6853,2019-10-04,170310219,42602,,,,13.1,
6854,2019-10-04,170311003,44201,0.027,,,,
6855,2019-10-04,170311016,81102,,,,,18.0
6856,2019-10-04,170311601,44201,0.021,,,,
6857,2019-10-04,170313103,44201,0.029,,,,
6858,2019-10-04,170314002,44201,0.027,,,,
6859,2019-10-04,170314007,44201,0.031,,,,
6860,2019-10-04,170314201,44201,0.032,,,,
6861,2019-10-04,170317002,44201,0.034,,,,
6862,2019-10-05,170310001,44201,0.027,,,,
6863,2019-10-05,170310032,44201,0.029,,,,
6864,2019-10-05,170310076,44201,0.034,,,,
6865,2019-10-05,170310119,42101,,0.5,,,
6866,2019-10-05,170310219,42602,,,,22.5,
6867,2019-10-05,170311003,44201,0.026,,,,
6868,2019-10-05,170311016,81102,,,,,26.0
6869,2019-10-05,170311601,44201,0.027,,,,
6870,2019-10-05,170313103,44201,0.027,,,,
6871,2019-10-05,170314002,44201,0.026,,,,
6872,2019-10-05,170314007,44201,0.026,,,,
6873,2019-10-05,170314201,44201,0.026,,,,
6874,2019-10-05,170317002,44201,0.032,,,,
6875,2019-10-06,170310001,44201,0.035,,,,
6876,2019-10-06,170310032,44201,0.034,,,,
6877,2019-10-06,170310076,44201,0.04,,,,
6878,2019-10-06,170310119,42101,,0.5,,,
6879,2019-10-06,170310219,42602,,,,15.4,
6880,2019-10-06,170311003,44201,0.032,,,,
6881,2019-10-06,170311601,44201,0.034,,,,
6882,2019-10-06,170313103,44201,0.029,,,,
6883,2019-10-06,170314002,44201,0.035,,,,
6884,2019-10-06,170314007,44201,0.032,,,,
6885,2019-10-06,170314201,44201,0.032,,,,
6886,2019-10-06,170317002,44201,0.033,,,,
6887,2019-10-07,170310001,44201,0.028,,,,
6888,2019-10-07,170310032,44201,0.03,,,,
6889,2019-10-07,170310076,44201,0.033,,,,
6890,2019-10-07,170310119,42101,,0.7,,,
6891,2019-10-07,170310219,42602,,,,25.9,
6892,2019-10-07,170311003,44201,0.031,,,,
6893,2019-10-07,170311601,44201,0.029,,,,
6894,2019-10-07,170313103,44201,0.025,,,,
6895,2019-10-07,170314002,44201,0.03,,,,
6896,2019-10-07,170314007,44201,0.029,,,,
6897,2019-10-07,170314201,44201,0.033,,,,
6898,2019-10-07,170317002,44201,0.034,,,,
6899,2019-10-08,170310001,44201,0.036,,,,
6900,2019-10-08,170310032,44201,0.04,,,,
6901,2019-10-08,170310076,44201,0.043,,,,
6902,2019-10-08,170310119,42101,,0.8,,,
6903,2019-10-08,170310219,42602,,,,36.6,
6904,2019-10-08,170311003,44201,0.033,,,,
6905,2019-10-08,170311601,44201,0.037,,,,
6906,2019-10-08,170313103,44201,0.03,,,,
6907,2019-10-08,170314002,44201,0.034,,,,
6908,2019-10-08,170314007,44201,0.033,,,,
6909,2019-10-08,170314201,44201,0.031,,,,
6910,2019-10-08,170317002,44201,0.043,,,,
6911,2019-10-09,170310001,44201,0.045,,,,
6912,2019-10-09,170310032,44201,0.047,,,,
6913,2019-10-09,170310076,44201,0.049,,,,
6914,2019-10-09,170310119,42101,,0.5,,,
6915,2019-10-09,170310219,42602,,,,43.2,
6916,2019-10-09,170311003,44201,0.045,,,,
6917,2019-10-09,170311016,81102,,,,,47.0
6918,2019-10-09,170311601,44201,0.045,,,,
6919,2019-10-09,170313103,44201,0.038,,,,
6920,2019-10-09,170314002,44201,0.043,,,,
6921,2019-10-09,170314007,44201,0.048,,,,
6922,2019-10-09,170314201,44201,0.047,,,,
6923,2019-10-09,170317002,44201,0.049,,,,
6924,2019-10-10,170310001,44201,0.028,,,,
6925,2019-10-10,170310032,44201,0.027,,,,
6926,2019-10-10,170310076,44201,0.034,,,,
6927,2019-10-10,170310119,42101,,0.5,,,
6928,2019-10-10,170310219,42602,,,,35.0,
6929,2019-10-10,170311003,44201,0.026,,,,
6930,2019-10-10,170311016,81102,,,,,39.0
6931,2019-10-10,170311601,44201,0.027,,,,
6932,2019-10-10,170313103,44201,0.026,,,,
6933,2019-10-10,170314002,44201,0.023,,,,
6934,2019-10-10,170314007,44201,0.025,,,,
6935,2019-10-10,170314201,44201,0.029,,,,
6936,2019-10-10,170317002,44201,0.036,,,,
6937,2019-10-11,170310001,44201,0.029,,,,
6938,2019-10-11,170310032,44201,0.027,,,,
6939,2019-10-11,170310076,44201,0.036,,,,
6940,2019-10-11,170310119,42101,,0.4,,,
6941,2019-10-11,170310219,42602,,,,29.2,
6942,2019-10-11,170311003,44201,0.027,,,,
6943,2019-10-11,170311016,81102,,,,,18.0
6944,2019-10-11,170311601,44201,0.03,,,,
6945,2019-10-11,170313103,44201,0.03,,,,
6946,2019-10-11,170314002,44201,0.031,,,,
6947,2019-10-11,170314007,44201,0.031,,,,
6948,2019-10-11,170314201,44201,0.03,,,,
6949,2019-10-11,170317002,44201,0.03,,,,
6950,2019-10-12,170310001,44201,0.038,,,,
6951,2019-10-12,170310032,44201,0.036,,,,
6952,2019-10-12,170310076,44201,0.043,,,,
6953,2019-10-12,170310119,42101,,0.3,,,
6954,2019-10-12,170311003,44201,0.036,,,,
6955,2019-10-12,170311016,81102,,,,,31.0
6956,2019-10-12,170311601,44201,0.039,,,,
6957,2019-10-12,170313103,44201,0.037,,,,
6958,2019-10-12,170314002,44201,0.036,,,,
6959,2019-10-12,170314007,44201,0.038,,,,
6960,2019-10-12,170314201,44201,0.038,,,,
6961,2019-10-12,170317002,44201,0.037,,,,
6962,2019-10-13,170310001,44201,0.035,,,,
6963,2019-10-13,170310032,44201,0.033,,,,
6964,2019-10-13,170310076,44201,0.039,,,,
6965,2019-10-13,170310119,42101,,0.3,,,
6966,2019-10-13,170311003,44201,0.03,,,,
6967,2019-10-13,170311016,81102,,,,,22.0
6968,2019-10-13,170311601,44201,0.035,,,,
6969,2019-10-13,170313103,44201,0.03,,,,
6970,2019-10-13,170314002,44201,0.034,,,,
6971,2019-10-13,170314007,44201,0.032,,,,
6972,2019-10-13,170314201,44201,0.03,,,,
6973,2019-10-13,170317002,44201,0.031,,,,
6974,2019-10-14,170310001,44201,0.029,,,,
6975,2019-10-14,170310032,44201,0.026,,,,
6976,2019-10-14,170310076,44201,0.033,,,,
6977,2019-10-14,170310119,42101,,0.6,,,
