"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"06/26/2020","AQS","170311016","4","61","ug/m3 SC","54","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","61"
"06/27/2020","AQS","170311016","4","27","ug/m3 SC","25","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","27"
"06/28/2020","AQS","170311016","4","31","ug/m3 SC","29","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","31"
"06/29/2020","AQS","170311016","4","58","ug/m3 SC","52","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","58"
"06/30/2020","AQS","170311016","4","45","ug/m3 SC","42","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","45"
"07/01/2020","AQS","170311016","4","42","ug/m3 SC","39","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","42"
"07/02/2020","AQS","170311016","4","41","ug/m3 SC","38","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","41"
"07/03/2020","AQS","170311016","4","42","ug/m3 SC","39","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","42"
"07/04/2020","AQS","170311016","4","83","ug/m3 SC","65","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","83"
"07/05/2020","AQS","170311016","4","65","ug/m3 SC","56","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","65"
"07/06/2020","AQS","170311016","4","66","ug/m3 SC","56","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","66"
"07/07/2020","AQS","170311016","4","60","ug/m3 SC","53","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","60"
"07/08/2020","AQS","170311016","4","53","ug/m3 SC","49","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","53"
"07/09/2020","AQS","170311016","4","63","ug/m3 SC","55","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","63"
"07/10/2020","AQS","170311016","4","26","ug/m3 SC","24","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","26"
"07/11/2020","AQS","170311016","4","25","ug/m3 SC","23","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","25"
"07/12/2020","AQS","170311016","4","18","ug/m3 SC","17","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","18"
"07/13/2020","AQS","170311016","4","31","ug/m3 SC","29","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","31"
"07/14/2020","AQS","170311016","4","56","ug/m3 SC","51","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","56"
"07/15/2020","AQS","170311016","4","61","ug/m3 SC","54","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","61"
"07/16/2020","AQS","170311016","4","27","ug/m3 SC","25","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","27"
"07/17/2020","AQS","170311016","4","50","ug/m3 SC","46","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","50"
"07/18/2020","AQS","170311016","4","47","ug/m3 SC","44","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","47"
"07/19/2020","AQS","170311016","4","22","ug/m3 SC","20","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","22"
"07/22/2020","AQS","170311016","4","29","ug/m3 SC","27","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","29"
"07/23/2020","AQS","170311016","4","25","ug/m3 SC","23","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","25"
"07/24/2020","AQS","170311016","4","33","ug/m3 SC","31","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","33"
"07/25/2020","AQS","170311016","4","52","ug/m3 SC","48","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","52"
"07/26/2020","AQS","170311016","4","31","ug/m3 SC","29","VILLAGE HALL","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.80118","-87.832349",".","31"
