"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"07/21/2018","AQS","170313103","1","12.6","ppb","11","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","12.6"
"07/22/2018","AQS","170313103","1","11.6","ppb","10","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","11.6"
"07/23/2018","AQS","170313103","1","21.5","ppb","20","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","21.5"
"07/24/2018","AQS","170313103","1","27.6","ppb","25","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","27.6"
"07/25/2018","AQS","170313103","1","25.9","ppb","24","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","25.9"
"07/26/2018","AQS","170313103","1","28.3","ppb","26","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","28.3"
"07/27/2018","AQS","170313103","1","29.8","ppb","27","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","29.8"
"07/28/2018","AQS","170313103","1","29.1","ppb","27","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","29.1"
"07/29/2018","AQS","170313103","1","36.7","ppb","34","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","36.7"
"07/30/2018","AQS","170313103","1","34.4","ppb","32","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","34.4"
"07/31/2018","AQS","170313103","1","43.8","ppb","41","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","43.8"
"08/01/2018","AQS","170313103","1","42","ppb","40","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","42"
"08/02/2018","AQS","170313103","1","26.1","ppb","25","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","26.1"
"08/03/2018","AQS","170313103","1","35.4","ppb","33","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","35.4"
"08/04/2018","AQS","170313103","1","28.2","ppb","26","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","28.2"
"08/05/2018","AQS","170313103","1","15.2","ppb","14","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","15.2"
"08/06/2018","AQS","170313103","1","33.8","ppb","31","IEPA TRAILER","23","96.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","33.8"
"08/07/2018","AQS","170313103","1","29.9","ppb","27","IEPA TRAILER","18","75.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","29.9"
"08/09/2018","AQS","170313103","1","27.4","ppb","25","IEPA TRAILER","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.9651934814238","-87.8762647334973",".","27.4"
