"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/22/2020","AQS","170310022","4","25","ug/m3 SC","23","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/23/2020","AQS","170310022","4","17","ug/m3 SC","16","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/24/2020","AQS","170310022","4","26","ug/m3 SC","24","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/25/2020","AQS","170310022","4","32","ug/m3 SC","30","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/26/2020","AQS","170310022","4","41","ug/m3 SC","38","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/27/2020","AQS","170310022","4","20","ug/m3 SC","19","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/28/2020","AQS","170310022","4","27","ug/m3 SC","25","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/29/2020","AQS","170310022","4","43","ug/m3 SC","40","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/30/2020","AQS","170310022","4","31","ug/m3 SC","29","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/01/2020","AQS","170310022","4","25","ug/m3 SC","23","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/02/2020","AQS","170310022","4","28","ug/m3 SC","26","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/03/2020","AQS","170310022","4","38","ug/m3 SC","35","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/04/2020","AQS","170310022","4","49","ug/m3 SC","45","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/05/2020","AQS","170310022","4","26","ug/m3 SC","24","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/06/2020","AQS","170310022","4","52","ug/m3 SC","48","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/07/2020","AQS","170310022","4","58","ug/m3 SC","52","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/08/2020","AQS","170310022","4","35","ug/m3 SC","32","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
