"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/02/2020","AQS","170311601","1","1.8","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/03/2020","AQS","170311601","1","1.5","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/04/2020","AQS","170311601","1","1.4","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/05/2020","AQS","170311601","1","1.7","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/06/2020","AQS","170311601","1","2.7","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/07/2020","AQS","170311601","1","1.8","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/08/2020","AQS","170311601","1","2","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/09/2020","AQS","170311601","1","2","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/10/2020","AQS","170311601","1","2.2","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/11/2020","AQS","170311601","1","2.3","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/12/2020","AQS","170311601","1","4.3","ppb","6","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/13/2020","AQS","170311601","1","2.9","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/14/2020","AQS","170311601","1","3.5","ppb","4","COOK COUNTY TRAILER","20","83.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/15/2020","AQS","170311601","1","1.7","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/16/2020","AQS","170311601","1","1.2","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/17/2020","AQS","170311601","1","2.4","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/18/2020","AQS","170311601","1","1.6","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/19/2020","AQS","170311601","1","2.3","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/20/2020","AQS","170311601","1","2.1","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/21/2020","AQS","170311601","1","1.8","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/22/2020","AQS","170311601","1","2","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/23/2020","AQS","170311601","1","2.1","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/24/2020","AQS","170311601","1","2.9","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/25/2020","AQS","170311601","1","3.3","ppb","4","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/26/2020","AQS","170311601","1","4.6","ppb","6","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/27/2020","AQS","170311601","1","3.8","ppb","4","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/28/2020","AQS","170311601","1","4.1","ppb","6","COOK COUNTY TRAILER","23","96.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/29/2020","AQS","170311601","1","1.2","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/30/2020","AQS","170311601","1","2.4","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"08/31/2020","AQS","170311601","1","1.7","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/01/2020","AQS","170311601","1","1.6","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/02/2020","AQS","170311601","1","1.3","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/03/2020","AQS","170311601","1","1.6","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/04/2020","AQS","170311601","1","1.2","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/05/2020","AQS","170311601","1","1.7","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/06/2020","AQS","170311601","1","1.5","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/07/2020","AQS","170311601","1","1.5","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/08/2020","AQS","170311601","1","1","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/09/2020","AQS","170311601","1","1.1","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/10/2020","AQS","170311601","1","1.5","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/11/2020","AQS","170311601","1","2.5","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/12/2020","AQS","170311601","1","1.1","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/13/2020","AQS","170311601","1","1.1","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/14/2020","AQS","170311601","1","2.8","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/15/2020","AQS","170311601","1","1.1","ppb","1","COOK COUNTY TRAILER","23","96.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
